Zero No.490:	(798.7, 798.8)
Zero No.491:	(799.6, 799.7)
Zero No.492:	(801.6, 801.7)
Zero No.493:	(802.5, 802.6)
Zero No.494:	(803.2, 803.3)
Zero No.495:	(804.7, 804.8)
Zero No.496:	(805.8, 805.9)
Zero No.497:	(808.1, 808.2)
Zero No.498:	(809.1, 809.2)
Zero No.499:	(810.0, 810.1)
Zero No.500:	(811.1, 811.2)
Zero No.501:	(812.7, 812.8)
Zero No.502:	(814.0, 814.1)
Zero No.503:	(814.8, 814.9)
Zero No.504:	(816.7, 816.8)
Zero No.505:	(818.3, 818.4)
Zero No.506:	(819.2, 819.3)
Zero No.507:	(820.7, 820.8)
Zero No.508:	(821.7, 821.8)
Zero No.509:	(822.1, 822.2)
Zero No.510:	(824.5, 824.6)
Zero No.511:	(826.0, 826.1)
Zero No.512:	(826.9, 827.0)
Zero No.513:	(828.3, 828.4)
Zero No.514:	(829.4, 829.5)
Zero No.515:	(830.8, 830.9)
Zero No.516:	(831.7, 831.8)
Zero No.517:	(833.0, 833.1)
Zero No.518:	(834.6, 834.7)
Zero No.519:	(836.6, 836.7)
Zero No.520:	(837.3, 837.4)
Zero No.521:	(838.2, 838.3)
Zero No.522:	(839.4, 839.5)
Zero No.523:	(841.0, 841.1)
Zero No.524:	(842.0, 842.1)
Zero No.525:	(844.1, 844.2)
Zero No.526:	(844.8, 844.9)
Zero No.527:	(846.1, 846.2)
Zero No.528:	(847.9, 848.0)
Zero No.529:	(848.4, 848.5)
Zero No.530:	(849.8, 849.9)
Zero No.531:	(850.6, 850.7)
Zero No.532:	(853.1, 853.2)
Zero No.533:	(854.0, 854.1)
Zero No.534:	(855.2, 855.3)
Zero No.535:	(856.4, 856.5)
Zero No.536:	(857.3, 857.4)
Zero No.537:	(858.9, 859.0)
Zero No.538:	(860.4, 860.5)
Zero No.539:	(861.1, 861.2)
Zero No.540:	(863.1, 863.2)
Zero No.541:	(864.3, 864.4)
Zero No.542:	(865.5, 865.6)
Zero No.543:	(866.4, 866.5)
Zero No.544:	(867.6, 867.7)
Zero No.545:	(868.6, 868.7)
Zero No.546:	(870.8, 870.9)
Zero No.547:	(872.1, 872.2)
Zero No.548:	(873.0, 873.1)
Zero No.549:	(873.9, 874.0)
Zero No.550:	(875.9, 876.0)
Zero No.551:	(876.6, 876.7)
Zero No.552:	(877.6, 877.7)
Zero No.553:	(879.3, 879.4)
Zero No.554:	(880.8, 880.9)
Zero No.555:	(882.3, 882.4)
Zero No.556:	(883.4, 883.5)
Zero No.557:	(884.1, 884.2)
Zero No.558:	(885.2, 885.3)
Zero No.559:	(886.8, 886.9)
Zero No.560:	(888.4, 888.5)
Zero No.561:	(889.7, 889.8)
Zero No.562:	(890.8, 890.9)
Zero No.563:	(892.3, 892.4)
Zero No.564:	(893.1, 893.2)
Zero No.565:	(894.8, 894.9)
Zero No.566:	(895.3, 895.4)
Zero No.567:	(896.6, 896.7)
Zero No.568:	(899.2, 899.3)
Zero No.569:	(899.8, 899.9)
Zero No.570:	(900.8, 900.9)
Zero No.571:	(902.2, 902.3)
Zero No.572:	(903.0, 903.1)
Zero No.573:	(904.7, 904.8)
Zero No.574:	(905.8, 905.9)
Zero No.575:	(907.6, 907.7)
Zero No.576:	(908.3, 908.4)
Zero No.577:	(910.1, 910.2)
Zero No.578:	(911.2, 911.3)
Zero No.579:	(912.3, 912.4)
Zero No.580:	(912.8, 912.9)
Zero No.581:	(914.7, 914.8)
Zero No.582:	(916.3, 916.4)
Zero No.583:	(917.8, 917.9)
Zero No.584:	(918.8, 918.9)
Zero No.585:	(919.4, 919.5)
Zero No.586:	(921.1, 921.2)
Zero No.587:	(922.5, 922.6)
Zero No.588:	(923.2, 923.3)
Zero No.589:	(924.7, 924.8)
Zero No.590:	(926.5, 926.6)
Zero No.591:	(927.8, 927.9)
Zero No.592:	(928.6, 928.7)
Zero No.593:	(929.8, 929.9)
Zero No.594:	(931.0, 931.1)
Zero No.595:	(931.8, 931.9)
Zero No.596:	(934.3, 934.4)
Zero No.597:	(934.9, 935.0)
Zero No.598:	(936.2, 936.3)
Zero No.599:	(937.5, 937.6)
Zero No.600:	(939.0, 939.1)
Zero No.601:	(939.6, 939.7)
Zero No.602:	(941.1, 941.2)
Zero No.603:	(942.0, 942.1)
Zero No.604:	(944.1, 944.2)
Zero No.605:	(945.3, 945.4)
Zero No.606:	(946.7, 946.8)
Zero No.607:	(947.0, 947.1)
Zero No.608:	(948.3, 948.4)
Zero No.609:	(950.1, 950.2)
Zero No.610:	(951.0, 951.1)
Zero No.611:	(952.7, 952.8)
Zero No.612:	(954.1, 954.2)
Zero No.613:	(954.8, 954.9)
Zero No.614:	(956.6, 956.7)
Zero No.615:	(957.5, 957.6)
Zero No.616:	(958.4, 958.5)
Zero No.617:	(959.4, 959.5)
Zero No.618:	(961.6, 961.7)
Zero No.619:	(963.1, 963.2)
Zero No.620:	(963.5, 963.6)
Zero No.621:	(965.0, 965.1)
Zero No.622:	(966.1, 966.2)
Zero No.623:	(967.3, 967.4)
Zero No.624:	(968.6, 968.7)
Zero No.625:	(970.1, 970.2)
Zero No.626:	(971.0, 971.1)
Zero No.627:	(973.1, 973.2)
Zero No.628:	(973.8, 973.9)
Zero No.629:	(974.7, 974.8)
Zero No.630:	(976.1, 976.2)
Zero No.631:	(976.9, 977.0)
Zero No.632:	(978.7, 978.8)
Zero No.633:	(980.5, 980.6)
Zero No.634:	(981.2, 981.3)
Zero No.635:	(982.3, 982.4)
Zero No.636:	(983.5, 983.6)
Zero No.637:	(985.1, 985.2)
Zero No.638:	(986.1, 986.2)
Zero No.639:	(986.7, 986.8)
Zero No.640:	(988.9, 989.0)
Zero No.641:	(990.2, 990.3)
Zero No.642:	(991.3, 991.4)
Zero No.643:	(992.7, 992.8)
Zero No.644:	(993.2, 993.3)
Zero No.645:	(994.4, 994.5)
Zero No.646:	(996.2, 996.3)
Zero No.647:	(997.5, 997.6)
Zero No.648:	(998.8, 998.9)
Zero No.649:	(999.7, 999.8)

Expecting 649.0 zeros.
Find 649 zeros.

Total time cost: 280.6123475 seconds.
Average time cost: 0.4323765 seconds per zero.
